Term,Description,Context
BAM,Instruments:1. solar wind plasma experiment,Complex 39B Scientific Instruments:1. solar wind plasma experiment (BAM)2. solar wind ion composition experiment (GLG)3. magnetic fields experiment (HED)4. energetic particle composition/neutral gas experiment (KEP)5. low energy charged particle composition/anisotropy experiment (LAN)6. cosmic rays and solar particles experiment (SIM)7. radio/plasma waves experiment (STO)8. solar x-rays and cosmic gamma-ray bursts experiment (HUS)9. cosmic dust experiment (GRU)Results: The Ulysses mission was an outgrowth of the abandoned International Solar Polar Mission  
GLG,solar wind ion composition experiment,Complex 39B Scientific Instruments:1. solar wind plasma experiment (BAM)2. solar wind ion composition experiment (GLG)3. magnetic fields experiment (HED)4. energetic particle composition/neutral gas experiment (KEP)5. low energy charged particle composition/anisotropy experiment (LAN)6. cosmic rays and solar particles experiment (SIM)7. radio/plasma waves experiment (STO)8. solar x-rays and cosmic gamma-ray bursts experiment (HUS)9. cosmic dust experiment (GRU)Results: The Ulysses mission was an outgrowth of the abandoned International Solar Polar Mission  
HED,experiment (GLG)3. magnetic fields experiment,Complex 39B Scientific Instruments:1. solar wind plasma experiment (BAM)2. solar wind ion composition experiment (GLG)3. magnetic fields experiment (HED)4. energetic particle composition/neutral gas experiment (KEP)5. low energy charged particle composition/anisotropy experiment (LAN)6. cosmic rays and solar particles experiment (SIM)7. radio/plasma waves experiment (STO)8. solar x-rays and cosmic gamma-ray bursts experiment (HUS)9. cosmic dust experiment (GRU)Results: The Ulysses mission was an outgrowth of the abandoned International Solar Polar Mission  
KEP,energetic particle composition/neutral gas experiment,Complex 39B Scientific Instruments:1. solar wind plasma experiment (BAM)2. solar wind ion composition experiment (GLG)3. magnetic fields experiment (HED)4. energetic particle composition/neutral gas experiment (KEP)5. low energy charged particle composition/anisotropy experiment (LAN)6. cosmic rays and solar particles experiment (SIM)7. radio/plasma waves experiment (STO)8. solar x-rays and cosmic gamma-ray bursts experiment (HUS)9. cosmic dust experiment (GRU)Results: The Ulysses mission was an outgrowth of the abandoned International Solar Polar Mission  
LAN,energy charged particle composition/anisotropy experiment,Complex 39B Scientific Instruments:1. solar wind plasma experiment (BAM)2. solar wind ion composition experiment (GLG)3. magnetic fields experiment (HED)4. energetic particle composition/neutral gas experiment (KEP)5. low energy charged particle composition/anisotropy experiment (LAN)6. cosmic rays and solar particles experiment (SIM)7. radio/plasma waves experiment (STO)8. solar x-rays and cosmic gamma-ray bursts experiment (HUS)9. cosmic dust experiment (GRU)Results: The Ulysses mission was an outgrowth of the abandoned International Solar Polar Mission  
SIM,rays and solar particles experiment,Complex 39B Scientific Instruments:1. solar wind plasma experiment (BAM)2. solar wind ion composition experiment (GLG)3. magnetic fields experiment (HED)4. energetic particle composition/neutral gas experiment (KEP)5. low energy charged particle composition/anisotropy experiment (LAN)6. cosmic rays and solar particles experiment (SIM)7. radio/plasma waves experiment (STO)8. solar x-rays and cosmic gamma-ray bursts experiment (HUS)9. cosmic dust experiment (GRU)Results: The Ulysses mission was an outgrowth of the abandoned International Solar Polar Mission  
STO,experiment (SIM)7. radio/plasma waves experiment,Complex 39B Scientific Instruments:1. solar wind plasma experiment (BAM)2. solar wind ion composition experiment (GLG)3. magnetic fields experiment (HED)4. energetic particle composition/neutral gas experiment (KEP)5. low energy charged particle composition/anisotropy experiment (LAN)6. cosmic rays and solar particles experiment (SIM)7. radio/plasma waves experiment (STO)8. solar x-rays and cosmic gamma-ray bursts experiment (HUS)9. cosmic dust experiment (GRU)Results: The Ulysses mission was an outgrowth of the abandoned International Solar Polar Mission  
HUS,cosmic gamma ray bursts experiment,Complex 39B Scientific Instruments:1. solar wind plasma experiment (BAM)2. solar wind ion composition experiment (GLG)3. magnetic fields experiment (HED)4. energetic particle composition/neutral gas experiment (KEP)5. low energy charged particle composition/anisotropy experiment (LAN)6. cosmic rays and solar particles experiment (SIM)7. radio/plasma waves experiment (STO)8. solar x-rays and cosmic gamma-ray bursts experiment (HUS)9. cosmic dust experiment (GRU)Results: The Ulysses mission was an outgrowth of the abandoned International Solar Polar Mission  
GRU,experiment (HUS)9. cosmic dust experiment,Complex 39B Scientific Instruments:1. solar wind plasma experiment (BAM)2. solar wind ion composition experiment (GLG)3. magnetic fields experiment (HED)4. energetic particle composition/neutral gas experiment (KEP)5. low energy charged particle composition/anisotropy experiment (LAN)6. cosmic rays and solar particles experiment (SIM)7. radio/plasma waves experiment (STO)8. solar x-rays and cosmic gamma-ray bursts experiment (HUS)9. cosmic dust experiment (GRU)Results: The Ulysses mission was an outgrowth of the abandoned International Solar Polar Mission  
ISPM,Solar Polar Mission,Scientific Instruments:1. solar wind plasma experiment (BAM)2. solar wind ion composition experiment (GLG)3. magnetic fields experiment (HED)4. energetic particle composition/neutral gas experiment (KEP)5. low energy charged particle composition/anisotropy experiment (LAN)6. cosmic rays and solar particles experiment (SIM)7. radio/plasma waves experiment (STO)8. solar x-rays and cosmic gamma-ray bursts experiment (HUS)9. cosmic dust experiment (GRU)Results: The Ulysses mission was an outgrowth of the abandoned International Solar Polar Mission  (ISPM) that originally involved two spacecraftŠone American and one EuropeanŠflying over  
MGF,magnetic fields measurement monitor,Scientific Instruments:1.  magnetic fields measurement monitor (MGF)2. low energy particles experiment (LEP)3. electric field monitor (EFD)4. energetic particles and ion composition experiment (EPIC)5. high-energy particle monitors (HEP)6. plasma wave instrument (PWI)7. comprehensive plasma instrument (CPI)Results: The Geotail mission was a joint project  
LEP,(MGF)2. low energy particles experiment,Scientific Instruments:1.  magnetic fields measurement monitor (MGF)2. low energy particles experiment (LEP)3. electric field monitor (EFD)4. energetic particles and ion composition experiment (EPIC)5. high-energy particle monitors (HEP)6. plasma wave instrument (PWI)7. comprehensive plasma instrument (CPI)Results: The Geotail mission was a joint project  
EFD,experiment (LEP)3. electric field monitor,Scientific Instruments:1.  magnetic fields measurement monitor (MGF)2. low energy particles experiment (LEP)3. electric field monitor (EFD)4. energetic particles and ion composition experiment (EPIC)5. high-energy particle monitors (HEP)6. plasma wave instrument (PWI)7. comprehensive plasma instrument (CPI)Results: The Geotail mission was a joint project  
EPIC,energetic particles and ion composition experiment,Scientific Instruments:1.  magnetic fields measurement monitor (MGF)2. low energy particles experiment (LEP)3. electric field monitor (EFD)4. energetic particles and ion composition experiment (EPIC)5. high-energy particle monitors (HEP)6. plasma wave instrument (PWI)7. comprehensive plasma instrument (CPI)Results: The Geotail mission was a joint project  
HEP,(EPIC)5. high energy particle monitors,Scientific Instruments:1.  magnetic fields measurement monitor (MGF)2. low energy particles experiment (LEP)3. electric field monitor (EFD)4. energetic particles and ion composition experiment (EPIC)5. high-energy particle monitors (HEP)6. plasma wave instrument (PWI)7. comprehensive plasma instrument (CPI)Results: The Geotail mission was a joint project  
PWI,monitors (HEP)6. plasma wave instrument,Scientific Instruments:1.  magnetic fields measurement monitor (MGF)2. low energy particles experiment (LEP)3. electric field monitor (EFD)4. energetic particles and ion composition experiment (EPIC)5. high-energy particle monitors (HEP)6. plasma wave instrument (PWI)7. comprehensive plasma instrument (CPI)Results: The Geotail mission was a joint project  
CPI,instrument (PWI)7. comprehensive plasma instrument,Scientific Instruments:1.  magnetic fields measurement monitor (MGF)2. low energy particles experiment (LEP)3. electric field monitor (EFD)4. energetic particles and ion composition experiment (EPIC)5. high-energy particle monitors (HEP)6. plasma wave instrument (PWI)7. comprehensive plasma instrument (CPI)Results: The Geotail mission was a joint project  
ISTP,International Solar Terrestrial Physics,"of Japan™s ISAS (and later, from 2003, JAXA),  and NASA, executed as part of the International Solar Terrestrial Physics (ISTP) project, which  "
MOC,Mars Observer camera,Space Launch Complex-40 Scientific Instruments:1. Mars Observer camera (MOC)2. thermal emission spectrometer (TES)3. pressure modulator infrared radiometer (PMIRR)4. Mars Observer laser altimeter (MOLA)5. magnetometer/electron reflectometer (MAG/ER)6. gamma-ray spectrometer (GRS)7. radio science experiment (RS)8. Mars balloon relay receiver (MBR)Results: Mars Observer was designed to carry out  
TES,camera (MOC)2. thermal emission spectrometer,Space Launch Complex-40 Scientific Instruments:1. Mars Observer camera (MOC)2. thermal emission spectrometer (TES)3. pressure modulator infrared radiometer (PMIRR)4. Mars Observer laser altimeter (MOLA)5. magnetometer/electron reflectometer (MAG/ER)6. gamma-ray spectrometer (GRS)7. radio science experiment (RS)8. Mars balloon relay receiver (MBR)Results: Mars Observer was designed to carry out  
PMIRR,emission spectrometer (TES)3. pressure modulator infrared radiometer,Space Launch Complex-40 Scientific Instruments:1. Mars Observer camera (MOC)2. thermal emission spectrometer (TES)3. pressure modulator infrared radiometer (PMIRR)4. Mars Observer laser altimeter (MOLA)5. magnetometer/electron reflectometer (MAG/ER)6. gamma-ray spectrometer (GRS)7. radio science experiment (RS)8. Mars balloon relay receiver (MBR)Results: Mars Observer was designed to carry out  
MOLA,radiometer (PMIRR)4. Mars Observer laser altimeter,Space Launch Complex-40 Scientific Instruments:1. Mars Observer camera (MOC)2. thermal emission spectrometer (TES)3. pressure modulator infrared radiometer (PMIRR)4. Mars Observer laser altimeter (MOLA)5. magnetometer/electron reflectometer (MAG/ER)6. gamma-ray spectrometer (GRS)7. radio science experiment (RS)8. Mars balloon relay receiver (MBR)Results: Mars Observer was designed to carry out  
MAG/ER,(PMIRR)4. Mars Observer laser altimeter (MOLA)5. magnetometer/electron reflectometer,Space Launch Complex-40 Scientific Instruments:1. Mars Observer camera (MOC)2. thermal emission spectrometer (TES)3. pressure modulator infrared radiometer (PMIRR)4. Mars Observer laser altimeter (MOLA)5. magnetometer/electron reflectometer (MAG/ER)6. gamma-ray spectrometer (GRS)7. radio science experiment (RS)8. Mars balloon relay receiver (MBR)Results: Mars Observer was designed to carry out  
GRS,reflectometer (MAG/ER)6. gamma ray spectrometer,Space Launch Complex-40 Scientific Instruments:1. Mars Observer camera (MOC)2. thermal emission spectrometer (TES)3. pressure modulator infrared radiometer (PMIRR)4. Mars Observer laser altimeter (MOLA)5. magnetometer/electron reflectometer (MAG/ER)6. gamma-ray spectrometer (GRS)7. radio science experiment (RS)8. Mars balloon relay receiver (MBR)Results: Mars Observer was designed to carry out  
RS,(GRS)7. radio science experiment,Space Launch Complex-40 Scientific Instruments:1. Mars Observer camera (MOC)2. thermal emission spectrometer (TES)3. pressure modulator infrared radiometer (PMIRR)4. Mars Observer laser altimeter (MOLA)5. magnetometer/electron reflectometer (MAG/ER)6. gamma-ray spectrometer (GRS)7. radio science experiment (RS)8. Mars balloon relay receiver (MBR)Results: Mars Observer was designed to carry out  
MBR,(RS)8. Mars balloon relay receiver,Space Launch Complex-40 Scientific Instruments:1. Mars Observer camera (MOC)2. thermal emission spectrometer (TES)3. pressure modulator infrared radiometer (PMIRR)4. Mars Observer laser altimeter (MOLA)5. magnetometer/electron reflectometer (MAG/ER)6. gamma-ray spectrometer (GRS)7. radio science experiment (RS)8. Mars balloon relay receiver (MBR)Results: Mars Observer was designed to carry out  
TOS,Transfer Orbit Stage,"mere 31 minutes after launch, the new Transfer  Orbit Stage (TOS), using the Orbus 21 solid rocket  "
NIR,(UV/Vis) 2. near infrared camera,Scientific Instruments:1. ultraviolet/visible camera (UV/Vis) 2. near-infrared camera (NIR) 
LIDAR,3. laser image detection and ranging system,2. near-infrared camera (NIR) 3. laser image detection and ranging system (LIDAR) 
LWIR,(LIDAR) 4. long wave infrared camera,3. laser image detection and ranging system (LIDAR) 4. long-wave infrared camera (LWIR) 
HIRES,infrared camera (LWIR) 5. high resolution camera,"4. long-wave infrared camera (LWIR) 5. high-resolution camera (HIRES)6. 2 star tracker cameras7. bistatic radar experiment8. S-band transponder Doppler gravity experiment9. charged particle telescope (CPT)Results: Clementine was the first U.S. spacecraft launched to the Moon in over 20 years (since Explorer 49 in June 1973). The spacecraft, also  "
CPT,gravity experiment9. charged particle telescope,"4. long-wave infrared camera (LWIR) 5. high-resolution camera (HIRES)6. 2 star tracker cameras7. bistatic radar experiment8. S-band transponder Doppler gravity experiment9. charged particle telescope (CPT)Results: Clementine was the first U.S. spacecraft launched to the Moon in over 20 years (since Explorer 49 in June 1973). The spacecraft, also  "
DSPSE,Space Program Science Exper iment,"5. high-resolution camera (HIRES)6. 2 star tracker cameras7. bistatic radar experiment8. S-band transponder Doppler gravity experiment9. charged particle telescope (CPT)Results: Clementine was the first U.S. spacecraft launched to the Moon in over 20 years (since Explorer 49 in June 1973). The spacecraft, also  known as the Deep Space Program Science Exper-iment (DSPSE), was designed and built to demon-strate a set of lightweight technologies such as  "
SDI,Strate gic Defense Initiative,"the DOD™s Brilliant Pebbles program for the Strate -gic Defense Initiative (SDI), which required a large  "
WAVES,Instruments:1. radio and plasma wave experiment,Scientific Instruments:1.  radio and plasma wave experiment (WAVES) 
EPACT,"particle acceleration, composi tion, and transport experiment"," radio and plasma wave experiment (WAVES) 2. energetic particle acceleration, composi-tion, and transport experiment (EPACT) "
SMS,suprathermal ion composi tion experiment,"2. energetic particle acceleration, composi-tion, and transport experiment (EPACT) 3. solar wind and suprathermal ion composi-tion experiment (SMS)Œ solar wind ion composition spectrome-ter (SWICS)Œ high mass resolution spectrometer (MASS)Œ suprathermal ion composition spec-trometer (STICS)4. solar wind experiment (SWE)5. 2 triaxial fluxgate magnetometers (MFI magnetic field investigation)6. three-dimensional plasma and energetic particle investigation (3DP)7. transient gamma-ray spectrometer (TGRS)8. Konus gamma-ray burst studies experimentResults: Wind was part of the International Solar  "
SWICS,(SMS)Œ solar wind ion composition spectrome ter,"2. energetic particle acceleration, composi-tion, and transport experiment (EPACT) 3. solar wind and suprathermal ion composi-tion experiment (SMS)Œ solar wind ion composition spectrome-ter (SWICS)Œ high mass resolution spectrometer (MASS)Œ suprathermal ion composition spec-trometer (STICS)4. solar wind experiment (SWE)5. 2 triaxial fluxgate magnetometers (MFI magnetic field investigation)6. three-dimensional plasma and energetic particle investigation (3DP)7. transient gamma-ray spectrometer (TGRS)8. Konus gamma-ray burst studies experimentResults: Wind was part of the International Solar  "
MASS,ter (SWICS)Œ high mass resolution spectrometer,"2. energetic particle acceleration, composi-tion, and transport experiment (EPACT) 3. solar wind and suprathermal ion composi-tion experiment (SMS)Œ solar wind ion composition spectrome-ter (SWICS)Œ high mass resolution spectrometer (MASS)Œ suprathermal ion composition spec-trometer (STICS)4. solar wind experiment (SWE)5. 2 triaxial fluxgate magnetometers (MFI magnetic field investigation)6. three-dimensional plasma and energetic particle investigation (3DP)7. transient gamma-ray spectrometer (TGRS)8. Konus gamma-ray burst studies experimentResults: Wind was part of the International Solar  "
STICS,spectrometer (MASS)Œ suprathermal ion composition spec trometer,"2. energetic particle acceleration, composi-tion, and transport experiment (EPACT) 3. solar wind and suprathermal ion composi-tion experiment (SMS)Œ solar wind ion composition spectrome-ter (SWICS)Œ high mass resolution spectrometer (MASS)Œ suprathermal ion composition spec-trometer (STICS)4. solar wind experiment (SWE)5. 2 triaxial fluxgate magnetometers (MFI magnetic field investigation)6. three-dimensional plasma and energetic particle investigation (3DP)7. transient gamma-ray spectrometer (TGRS)8. Konus gamma-ray burst studies experimentResults: Wind was part of the International Solar  "
SWE,trometer (STICS)4. solar wind experiment,"2. energetic particle acceleration, composi-tion, and transport experiment (EPACT) 3. solar wind and suprathermal ion composi-tion experiment (SMS)Œ solar wind ion composition spectrome-ter (SWICS)Œ high mass resolution spectrometer (MASS)Œ suprathermal ion composition spec-trometer (STICS)4. solar wind experiment (SWE)5. 2 triaxial fluxgate magnetometers (MFI magnetic field investigation)6. three-dimensional plasma and energetic particle investigation (3DP)7. transient gamma-ray spectrometer (TGRS)8. Konus gamma-ray burst studies experimentResults: Wind was part of the International Solar  "
TGRS,investigation (3DP)7. transient gamma ray spectrometer,"2. energetic particle acceleration, composi-tion, and transport experiment (EPACT) 3. solar wind and suprathermal ion composi-tion experiment (SMS)Œ solar wind ion composition spectrome-ter (SWICS)Œ high mass resolution spectrometer (MASS)Œ suprathermal ion composition spec-trometer (STICS)4. solar wind experiment (SWE)5. 2 triaxial fluxgate magnetometers (MFI magnetic field investigation)6. three-dimensional plasma and energetic particle investigation (3DP)7. transient gamma-ray spectrometer (TGRS)8. Konus gamma-ray burst studies experimentResults: Wind was part of the International Solar  "
ISTP,International Solar Terrestrial Physics,"3. solar wind and suprathermal ion composi-tion experiment (SMS)Œ solar wind ion composition spectrome-ter (SWICS)Œ high mass resolution spectrometer (MASS)Œ suprathermal ion composition spec-trometer (STICS)4. solar wind experiment (SWE)5. 2 triaxial fluxgate magnetometers (MFI magnetic field investigation)6. three-dimensional plasma and energetic particle investigation (3DP)7. transient gamma-ray spectrometer (TGRS)8. Konus gamma-ray burst studies experimentResults: Wind was part of the International Solar  Terrestrial Physics (ISTP) program, a joint proj "
CGS,Global Geospace Science,"Wind, Polar, SOHO, and Cluster. The first of  two NASA-sponsored Global Geospace Science (CGS) vehicles, the Wind spacecraft carried eight  "
SUMER,ultraviolet measurements of emitted radiation experiment,Scientific Instruments: 1. solar-ultraviolet measurements of emitted  radiation experiment (SUMER) 2. coronal diagnostic spectrometer (CDS) 3. 
CDS,(SUMER) 2. coronal diagnostic spectrometer,Scientific Instruments: 1. solar-ultraviolet measurements of emitted  radiation experiment (SUMER) 2. coronal diagnostic spectrometer (CDS) 3. 
EIT,extreme ultraviolet imaging telescope,radiation experiment (SUMER) 2. coronal diagnostic spectrometer (CDS) 3.  extreme ultraviolet imaging telescope (EIT) 4. 
UVCS,(EIT) 4. ultraviolet coronograph spectrometer, extreme ultraviolet imaging telescope (EIT) 4.  ultraviolet coronograph spectrometer (UVCS) 5. large angle and spectrometric coronograph (LASCO) 6. 
LASCO,(UVCS) 5. large angle and spectrometric coronograph, extreme ultraviolet imaging telescope (EIT) 4.  ultraviolet coronograph spectrometer (UVCS) 5. large angle and spectrometric coronograph (LASCO) 6. 
SWAN,6. solar wind anisotropies experiment, ultraviolet coronograph spectrometer (UVCS) 5. large angle and spectrometric coronograph (LASCO) 6.  solar wind anisotropies experiment (SWAN) 
CELIAS,"7. charge, element, and isotope analysis experiment"," solar wind anisotropies experiment (SWAN)  7. charge, element, and isotope analysis experiment (CELIAS) 8. comprehensive suprathermal and energetic particle analyzer (COSTEP) 9. energetic and relativistic nuclei and elec-tron experiment (ERNE) 10. global oscillations at low frequencies experiment (GOLF) 11. variability of solar irradiance and gravity oscillations experiment (VIRGO) 12. Michelson Doppler imager/solar oscilla-tions investigation (MDI/SOI)Results: The ESA-sponsored Solar and Heliospheric Observatory (SOHO) carries 12 scientific instru-ments to study the solar atmosphere, helioseis-mology, and the solar wind. Information from the  "
COSTEP,(CELIAS) 8. comprehensive suprathermal and energetic particle analyzer," solar wind anisotropies experiment (SWAN)  7. charge, element, and isotope analysis experiment (CELIAS) 8. comprehensive suprathermal and energetic particle analyzer (COSTEP) 9. energetic and relativistic nuclei and elec-tron experiment (ERNE) 10. global oscillations at low frequencies experiment (GOLF) 11. variability of solar irradiance and gravity oscillations experiment (VIRGO) 12. Michelson Doppler imager/solar oscilla-tions investigation (MDI/SOI)Results: The ESA-sponsored Solar and Heliospheric Observatory (SOHO) carries 12 scientific instru-ments to study the solar atmosphere, helioseis-mology, and the solar wind. Information from the  "
ERNE,relativistic nuclei and elec tron experiment," solar wind anisotropies experiment (SWAN)  7. charge, element, and isotope analysis experiment (CELIAS) 8. comprehensive suprathermal and energetic particle analyzer (COSTEP) 9. energetic and relativistic nuclei and elec-tron experiment (ERNE) 10. global oscillations at low frequencies experiment (GOLF) 11. variability of solar irradiance and gravity oscillations experiment (VIRGO) 12. Michelson Doppler imager/solar oscilla-tions investigation (MDI/SOI)Results: The ESA-sponsored Solar and Heliospheric Observatory (SOHO) carries 12 scientific instru-ments to study the solar atmosphere, helioseis-mology, and the solar wind. Information from the  "
GOLF,global oscillations at low frequencies experiment," solar wind anisotropies experiment (SWAN)  7. charge, element, and isotope analysis experiment (CELIAS) 8. comprehensive suprathermal and energetic particle analyzer (COSTEP) 9. energetic and relativistic nuclei and elec-tron experiment (ERNE) 10. global oscillations at low frequencies experiment (GOLF) 11. variability of solar irradiance and gravity oscillations experiment (VIRGO) 12. Michelson Doppler imager/solar oscilla-tions investigation (MDI/SOI)Results: The ESA-sponsored Solar and Heliospheric Observatory (SOHO) carries 12 scientific instru-ments to study the solar atmosphere, helioseis-mology, and the solar wind. Information from the  "
VIRGO,of solar irradiance and gravity oscillations experiment," solar wind anisotropies experiment (SWAN)  7. charge, element, and isotope analysis experiment (CELIAS) 8. comprehensive suprathermal and energetic particle analyzer (COSTEP) 9. energetic and relativistic nuclei and elec-tron experiment (ERNE) 10. global oscillations at low frequencies experiment (GOLF) 11. variability of solar irradiance and gravity oscillations experiment (VIRGO) 12. Michelson Doppler imager/solar oscilla-tions investigation (MDI/SOI)Results: The ESA-sponsored Solar and Heliospheric Observatory (SOHO) carries 12 scientific instru-ments to study the solar atmosphere, helioseis-mology, and the solar wind. Information from the  "
MDI/SOI,experiment (VIRGO) 12. Michelson Doppler imager/solar oscilla tions investigation," solar wind anisotropies experiment (SWAN)  7. charge, element, and isotope analysis experiment (CELIAS) 8. comprehensive suprathermal and energetic particle analyzer (COSTEP) 9. energetic and relativistic nuclei and elec-tron experiment (ERNE) 10. global oscillations at low frequencies experiment (GOLF) 11. variability of solar irradiance and gravity oscillations experiment (VIRGO) 12. Michelson Doppler imager/solar oscilla-tions investigation (MDI/SOI)Results: The ESA-sponsored Solar and Heliospheric Observatory (SOHO) carries 12 scientific instru-ments to study the solar atmosphere, helioseis-mology, and the solar wind. Information from the  "
SOHO,ESA sponsored Solar and Heliospheric Observatory," solar wind anisotropies experiment (SWAN)  7. charge, element, and isotope analysis experiment (CELIAS) 8. comprehensive suprathermal and energetic particle analyzer (COSTEP) 9. energetic and relativistic nuclei and elec-tron experiment (ERNE) 10. global oscillations at low frequencies experiment (GOLF) 11. variability of solar irradiance and gravity oscillations experiment (VIRGO) 12. Michelson Doppler imager/solar oscilla-tions investigation (MDI/SOI)Results: The ESA-sponsored Solar and Heliospheric Observatory (SOHO) carries 12 scientific instru-ments to study the solar atmosphere, helioseis-mology, and the solar wind. Information from the  "
STSP,Solar Terrestrial Science Programme,"SOHO and Cluster missions, part of ESA™s Solar  Terrestrial Science Programme (STSP), are ESA™s  "
ISTP,International Solar Terres trial Physics,"contributions to the International Solar Terres -trial Physics (ISTP) program, which has involved the work of other spacecraft such as Wind and  "
MSI,Scientific Instruments:1. multi spectral imager,Launch Complex 17B Scientific Instruments:1. multi-spectral imager (MSI)2. magnetometer (MAG)3. near infrared spectrometer (NIS)4. x-ray/gamma ray spectrometer (XGRS)5. laser rangefinder (NLR)6. radio science and gravimetry experimentResults: Near Earth Asteroid Rendezvous (NEAR)  
MAG,multi spectral imager (MSI)2. magnetometer,Launch Complex 17B Scientific Instruments:1. multi-spectral imager (MSI)2. magnetometer (MAG)3. near infrared spectrometer (NIS)4. x-ray/gamma ray spectrometer (XGRS)5. laser rangefinder (NLR)6. radio science and gravimetry experimentResults: Near Earth Asteroid Rendezvous (NEAR)  
NIS,magnetometer (MAG)3. near infrared spectrometer,Launch Complex 17B Scientific Instruments:1. multi-spectral imager (MSI)2. magnetometer (MAG)3. near infrared spectrometer (NIS)4. x-ray/gamma ray spectrometer (XGRS)5. laser rangefinder (NLR)6. radio science and gravimetry experimentResults: Near Earth Asteroid Rendezvous (NEAR)  
XGRS,spectrometer (NIS)4. x ray/gamma ray spectrometer,Launch Complex 17B Scientific Instruments:1. multi-spectral imager (MSI)2. magnetometer (MAG)3. near infrared spectrometer (NIS)4. x-ray/gamma ray spectrometer (XGRS)5. laser rangefinder (NLR)6. radio science and gravimetry experimentResults: Near Earth Asteroid Rendezvous (NEAR)  
NLR,ray spectrometer (XGRS)5. laser rangefinder,Launch Complex 17B Scientific Instruments:1. multi-spectral imager (MSI)2. magnetometer (MAG)3. near infrared spectrometer (NIS)4. x-ray/gamma ray spectrometer (XGRS)5. laser rangefinder (NLR)6. radio science and gravimetry experimentResults: Near Earth Asteroid Rendezvous (NEAR)  
NEAR,Near Earth Asteroid Rendezvous,Launch Complex 17B Scientific Instruments:1. multi-spectral imager (MSI)2. magnetometer (MAG)3. near infrared spectrometer (NIS)4. x-ray/gamma ray spectrometer (XGRS)5. laser rangefinder (NLR)6. radio science and gravimetry experimentResults: Near Earth Asteroid Rendezvous (NEAR)  
MOC,Instruments:1. Mars orbital camera,Launch Complex 17A Scientific Instruments:1. Mars orbital camera (MOC)2. Mars orbital laser altimeter (MOLA)3. thermal emission spectrometer (TES)4. magnetometer/electron reflectometer (MAG/ER)5. radio science experiment (RS)6. Mars relay antenna for future spacecraft (MR)Results: Mars Global Surveyor was the first space 
MOLA,camera (MOC)2. Mars orbital laser altimeter,Launch Complex 17A Scientific Instruments:1. Mars orbital camera (MOC)2. Mars orbital laser altimeter (MOLA)3. thermal emission spectrometer (TES)4. magnetometer/electron reflectometer (MAG/ER)5. radio science experiment (RS)6. Mars relay antenna for future spacecraft (MR)Results: Mars Global Surveyor was the first space 
TES,altimeter (MOLA)3. thermal emission spectrometer,Launch Complex 17A Scientific Instruments:1. Mars orbital camera (MOC)2. Mars orbital laser altimeter (MOLA)3. thermal emission spectrometer (TES)4. magnetometer/electron reflectometer (MAG/ER)5. radio science experiment (RS)6. Mars relay antenna for future spacecraft (MR)Results: Mars Global Surveyor was the first space 
MAG/ER,altimeter (MOLA)3. thermal emission spectrometer (TES)4. magnetometer/electron reflectometer,Launch Complex 17A Scientific Instruments:1. Mars orbital camera (MOC)2. Mars orbital laser altimeter (MOLA)3. thermal emission spectrometer (TES)4. magnetometer/electron reflectometer (MAG/ER)5. radio science experiment (RS)6. Mars relay antenna for future spacecraft (MR)Results: Mars Global Surveyor was the first space 
RS,(MAG/ER)5. radio science experiment,Launch Complex 17A Scientific Instruments:1. Mars orbital camera (MOC)2. Mars orbital laser altimeter (MOLA)3. thermal emission spectrometer (TES)4. magnetometer/electron reflectometer (MAG/ER)5. radio science experiment (RS)6. Mars relay antenna for future spacecraft (MR)Results: Mars Global Surveyor was the first space 
MR,antenna for future spacecraft,Launch Complex 17A Scientific Instruments:1. Mars orbital camera (MOC)2. Mars orbital laser altimeter (MOLA)3. thermal emission spectrometer (TES)4. magnetometer/electron reflectometer (MAG/ER)5. radio science experiment (RS)6. Mars relay antenna for future spacecraft (MR)Results: Mars Global Surveyor was the first space 
HRSC,1. Argus imaging complexŒ TV camera,UTLaunch Site: GIK-5 / Site 200/39 Scientific Instruments:Orbiter: 1. Argus imaging complexŒ TV camera (HRSC)Œ spectroscopic camera (WAOSS) 
WAOSS,imaging complexŒ TV camera (HRSC)Œ spectroscopic camera,UTLaunch Site: GIK-5 / Site 200/39 Scientific Instruments:Orbiter: 1. Argus imaging complexŒ TV camera (HRSC)Œ spectroscopic camera (WAOSS) 
PFS,spectrometer 2. infrared Fourier spectrometer,Scientific Instruments:Orbiter: 1. Argus imaging complexŒ TV camera (HRSC)Œ spectroscopic camera (WAOSS) Œ Omega infrared and optical spectrometer 2. infrared Fourier spectrometer (PFS) 
UFS-M,Spikam multi channel spectrometer 6. ultraviolet spectrophotometer, 3. Termoskan mapping radiometer  4. Svet mapping spectrometer 5. Spikam multi-channel spectrometer 6. ultraviolet spectrophotometer (UFS-M) 7. long-wave radar (RLK) 8. Foton gamma-ray spectrometer 
RLK,M) 7. long wave radar, 3. Termoskan mapping radiometer  4. Svet mapping spectrometer 5. Spikam multi-channel spectrometer 6. ultraviolet spectrophotometer (UFS-M) 7. long-wave radar (RLK) 8. Foton gamma-ray spectrometer 
