Term,Definitions
far infrared radiation,
far ultraviolet radiation,
Far UV Spectroscopic Explorer,"High-orbit, ultraviolet space observatory covering the wavelength range of 90.5-119.5 nm. The primary objective of FUSE is to use high-resolution spectroscopy at far ultraviolet wavelengths to study the origin and evolution of the lightest elements (hydrogen and deuterium) created shortly after the Big Bang, and the forces and processes involved in the evolution of galaxies, stars, and planetary systems."
Faraday dark space,
Faraday effect,
farm crops,
farmlands,
fast Fourier transformations,
fast neutrons,Neutrons of energy exceeding some threshold that must be specified (typically 0.1 or MeV); often associated with those neutrons predominately responsible for displacement damage of materials in neutron radiation fields.
fast nuclear reactors,
fast oxide reactors,
fast test reactors,
fasteners,
fasting,
fat embolisms,
fatigue (biology),"State of the human organism after exposure to any time of physical or psychological stress (e.g., pilot fatigue)."
fatigue life,The number of cycles of stress or strain of a specified character that a given specimen sustains before failure of a specified nature occurs.
fatigue (materials),"A weakening or deterioration of metal or other material occurring under load, especially under repeated cyclic, or continued loading. Used for strain fatigue and structural fatigue."
fatigue testing machines,
fatigue tests,
fats,
fatty acids,
fault detection,
fault tolerance,"The capability of systems to function despite one or more critical failures, by use of redundant circuits or functions and/or reconfigurable elements."
fault trees,Acyclic directed graphs used in the analysis or prediction of faults and defects.
~ faults,
fayalite,
FD 2 aircraft,
FDL-5 reentry vehicle,
fear,
fear of flying,
feasibility,
feasibility analysis,
Feather River Basin (CA),
feathering,
Feature Identification and Location Exper,
feces,
federal budgets,
federations,
feed systems,
feedback,"The return of a portion of the output of a device to the input; positive feedback adds to the input, negative feedback subtracts from the input. Information such as progress or results, returned to an originating source. In aeronautics, the transmittal of forces initiated by aerodynamic action on control surfaces or rotor blades to the cockpit controls; the forces so transmitted."
feedback amplifiers,
feedback circuits,
feedback control,A control system in which the controlled quantity is measured and compared with a standard representing the desired performance. Any deviation from athe standard is fed back into the control system in such a sense that it will reduce the deviation of the controlled quantity from the standard.
feedback frequency modulation,
feeders,
feedforward control,
feeding (supplying),
feet (anatomy),"The lower, pedal extremities of the legs."
feldspars,A group of abundant rock-forming minerals of the family of anhydrous silicates.
felsite,"A light colored, fine grained igneous rock composed chiefly of quartz or feldspar."
felts,
females,
femur,
~ fences,
fences (barriers),
Fermat principle,The principle which states that the path along which electromagnetic radiation travels between any two points will be that path for which the elapsed time for the travel is a minimum.
fermentation,
Fermi-Dirac statistics,The statistics of an assembly of identical half-integer spin particles; such particles have wave functions antisymmetrical with respect to particle interchange and satisfy the Pauli exclusion principle.
Fermi Gamma-ray Space Telescope,"Gamma-ray astronomy observatory in low-Earth orbit, comprised of the Large Area Telescope and the GLAST Burst Monitor, used to explore the extreme Universe, dark matter composition, black hole material acceleration, and the high-energy behavior of gamma-ray bursts. The observatory will also be used to investigate solar flares, pulsars, and cosmic ray origins."
Fermi liquids,
Fermi surfaces,
fermions,
fermium,
Ferranti Mercury computer,
ferrates,
ferric ions,
ferrimagnetic materials,
ferrimagnetism,
ferrimagnets,
ferrites,Solid solutions of carbon in alpha-iron.
ferritic stainless steels,
ferrocenes,
ferroelastic materials,
ferroelasticity,
ferroelectric materials,
ferroelectricity,
ferrofluids,
ferrography,A technique for the isolation and analysis of wear particles in a lubricant.
ferromagnetic films,
ferromagnetic materials,
ferromagnetic resonance,
ferromagnetism,
ferrous metals,
ferry spacecraft,
fertility,
fertilization,
fertilizers,
fetuses,
fever,
Feynman diagrams,
Ffowcs Williams-Hawkings equation,"A governing equation of noise generation by sources on, and the fluid motion in the vicinity of a moving surface based on the acoustic analogy. It is an inhomogeneous linear wave equation. The inhomogeneous terms of this equation are known as thickness, loading, and quadrupole (nonlinear) source terms."
Fiat aircraft,
fiber composites,Structural materials consisting of combinations of metals or alloys or plastics reinforced with one or more types of fibers.
fiber lasers,
fiber-matrix interfaces,
fiber optics,"The technique of transmitting light through long thin, flexible fibers of glass, plastic, or other transparent materials."
fiber orientation,
fiber pullout,
fiber pushout,
fiber strength,
fiber volume fraction,
fibers,
fibers (mathematics),
Fibonacci numbers,
fibrillation,
fibrin,
fibrinogen,
fibroblasts,
fibrosis,
Ficks equation,
fiduciaries,
field aligned currents,Electric currents aligned along magnetic fields.
field army ballistic missiles,
field coils,
field effect transistors,
field emission,
field intensity meters,
field mode theory,
field of view,The area or solid angle that can be viewed through or scanned by an optical instrument.
field-programmable gate arrays,
field strength,"For any physical field, the flux density, intensity, or gradient of the field at the point in question."
field tests,Tests carried out in the actual setting in which the subject device is intended to operate.
field theory (algebra),
field theory (physics),
~ fields,
fighter aircraft,
figure of merit,
filament winding,
~ filaments,
file maintenance (computers),
~ files,
files (tools),
fillers,
fillets,
filling,
film boiling,
film condensation,
film cooling,"The cooling of a body or surface, such as the inner surface of a rocket combustion chamber, by maintaining a thin fluid layer over the affected area."
film thickness,
~ films,
filter wheel infrared spectrometers,
filtergrams,
~ filters,
filtration,
finance,
financial management,
~ fine,
fine structure,
fineness,
fineness ratio,The ratio of the length of a body to its maximum diameter or to some equivalent dimension -- said especially of a body such as an airship hull or rocket.
fines,
fingers,
finishes,
finite difference theory,
finite difference time domain method,
finite element method,
finite volume method,A moving mesh method for analyzing transonic flow over airfoils.
Finland,
finned bodies,
Finnish space program,
fins,"Fixed or adjustable airfoils or vanes attached longitudinally to an aircraft, rocket, or a similar body to provide a stabilizing effect. Also, a flat plate of structure, as a cooling fin. Used for vertical fins."
fiords,"Arms of the sea having steep sides, deep bottoms, and shallow sills separating them from the sea."
FIR filters,Physically unrealizable nonrecursive digital filters. Used for finite impulse response filters.
FIRE (climatology),
fire control,
fire control circuits,
fire damage,
fire extinguishers,
fire fighting,
fire point,
fire prevention,
~ fireballs,
Firebee 2 target drone aircraft,
firebreaks,
fireflies,Flying insects which produce light by bioluminescence.
fireproofing,
fires,
firewalls (computers),"Computers, routers, and/or communications devices that filter access to a protected network. They may also consist of a collaboration of such components geared toward protecting networks from intrusion from the Internet while allowing users inside the network access to services on the Internet, such as Web and e-mail services."
firing (igniting),
firmware,Hardwired software which often encompasses microcodes.
first aid,
Fischer-Tropsch process,
Fishbowl Operation,
Fisher information,A fundamental quantity in statistical inference that describes an attribute or property of a distribution with known form but uncertain parameter values.
fisheries,"Place for harvesting fish or other aquatic life, especially in sea waters."
fishes,
fishing,
fissile fuels,
fission,The splitting of an atomic nucleus into two more-or-less equal fragments.
fission electric cells,
fission products,"The large variety of smaller atoms, including cesium and strontium, left over by the splitting of uranium and plutonium, usually caused by the absorption of a neutron."
fission weapons,
fissionable materials,"Materials containing nuclides capable of undergoing fission only by fast neutrons with energy greater than 1MeV, e.g., thorium-232 and uranium-238. Used for fissile materials."
fissium,
fissures (geology),Extensive cracks in rocks.
fitness,
fitting,
fittings,
fixed point arithmetic,
fixed points (mathematics),Positional notation in which corresponding places in different quantities are occupied by coefficients of the same power of the base. Notation in which the base point is assumed to remain fixed with respect to one end of the numeric expressions.
fixed wings,
~ fixing,
fixtures,
Fizeau effect,
Flagellata,
flakes,
flaking,
flame calorimeters,
flame deflectors,"In a vertical launch, any of variously designed obstructions that intercept hot gases of rocket engines so as to deflect them away from the ground or from a structure. In captive tests, elbows in the exhaust conduits or flame buckets that deflect the flame into the open."
flame holders,
flame ionization,
flame plating,
flame probes,
flame propagation,
flame retardants,
flame spectroscopy,
flame spraying,
flame stability,
flame temperature,
flameout,Unintended loss of combustion in turbine engines resultiing in the loss of engine power.
flames,
flammability,Those characteristics of a material that pertain to its relative ease of ignition and relative ability to sustain combustion. Used for combustibility and fire resistance.
flammable gases,
flange wrinkling,
flanges,
flaperons,Airplane control surfaces that serve the function of both aileron and flap.
flapping,
flapping hinges,
flaps (control surfaces),
flare stars,Members of a class of dwarf stars that show sudden intensive outbursts of energy. Used for UV Ceti stars.
flared bodies,
~ flares,
~ flash,
flash blindness,
flash lamps,
flash point,"The temperature at which a substance, such as fuel oil, will give off a vapor that will flash or burn momentarily when ignited."
flash welding,
flashback,Backward burning of a flame into the lip of a burner or torch.
flashing (vaporizing),The evaporation of a heated liquid as a consequence of rapid pressure reduction.
flashover,
flasks,
flat conductors,
flat layers,
flat panel displays,
flat patterns,Shape of a part or parts put in 3 space in its undefined condition.
flat plates,
flat surfaces,
flatness,
flats (landforms),"A general term for level or nearly level surfaces or small areas of land marked by little or no relief such as plains. Also, nearly level regions that visibly display lower relief than their surroundings. Used for adobe flats and salt flats."
flattening,
flatworms,
flavor (particle physics),The specific identifiers of quarks which distinguish various combinations of electric charge and mass.
fleet ballistic missiles,
Fleet Satellite Communication System,Global communication system utilizing satellites. Used for FLEETSATCOM and FLTSATCOM.
flexibility,That property of a material by virtue of which it may be bowed repeatedly without undergoing rupture. That property of a material by virtue of which it may be flexed or bowed repeatedly without undergoing rupture. Used for nonrigidity.
flexible bodies,
flexible spacecraft,Space vehicles (usually space structures or rotating satellites) whose surfaces and/or appendages may be subject to elastic flexural deformations (vibrations).
flexible wings,
flexing,
flexors,
flexural strength,DEF The bending load that a material can withstand without fracturing - it's resistance to fracture.
flicker,
~ flight,"The movement of an object through the atmosphere or through space, sustained by aerodynamic, aerostatic, or reaction forces, or by orbital speed; especially the movement of a man-operated or man-controlled device, such as a rocket, a space probe, a space vehicle, or an aircraft. Used for flying, high altitude flight, and high speed flight."
flight altitude,
flight characteristics,"Characteristics exhibited by an aircraft, rocket, or the like in flight, such as a tendency to stall or to yaw, or an ability to remain stable at certain speeds. Used for flight performance and flying qualities."
flight clothing,
flight conditions,
flight control,
flight crews,
flight envelopes,"The bounds within which a certain flight system can operate, especially a graphic representation of these bounds showing interrelationships of operational parameters."
flight fatigue,
flight fitness,
flight hazards,
flight instruments,
flight load recorders,
flight management systems,
flight mechanics,
flight nurses,
flight operations,"Collective term for ground support operations by flight crew or support personnel preparatory to space flight, or tasks performed by crew during flight."
flight optimization,
flight paths,"Paths made or followed in the air or in space by an aircraft or rocket; the continuous series of positions occupied by a flying body; more strictly, the path of the center of gravity of the flying body, referred to the Earth or other fixed reference."
flight plans,
flight recorders,
flight rules,
flight safety,
flight simulation,
flight simulators,Training devices or apparatus that simulate certain conditions of flight or of flight operations.
flight stability tests,
~ flight stress,
flight stress (biology),
flight surgeons,
flight test instruments,
flight test vehicles,Test vehicles for the conduct of flight tests either to test its own capabilities or to carry equipment requiring flight tests.
flight tests,"Tests by means of actual or attempted flight to see how an aircraft, spacecraft, space-air vehicle, or missile flies. Tests of a component part of a flying vehicle, or of an object carried in such a vehicle, to determine its suitability or reliability in terms of its intended function by making it endure actual flight."
flight time,The time from the moment an aircraft first moves under its own power for the purpose of flight until the moment it comes to rest at the next point of landing.
flight training,
~ flight vehicles,
flint,
flip-flops,Devices having two stable states and two input terminals (or types of input signals) each of which corresponds with one of the two states. The circuits remain in either state until caused to change to the other state by application of the corresponding signal. Similar bistable devices with an input which allows it to act as a single-stage binary counter. Used for bistable amplifiers.
FLIR detectors,Forward-looking infrared detectors for sensing all emissions of heat or light. Used for forward looking infrared detectors.
float zones,
floating,
floating point arithmetic,
floats,
flocculating,
flood control,"The prevention or reduction of damage caused by flooding, as by containing water in reservoirs removed from areas where it would do damage, improving channel capacity to convey water past or through critical areas with the least amount of damage, and diverting excess water into bypasses or floodways."
flood damage,
flood plains,"The surfaces or strips of relatively smooth land adjacent to river channels, constructed by the present rivers in their existing regimens and covered with water when the rivers overflow."
flood predictions,
floods,"Rising bodies of water (as in streams, lakes, seas, or behind dams) that overtop their natural or artificial confines and that cover land not normally underwater. Especially, any relatively high streamflows that overflow their banks in any reach of the stream, or that are measured by gage height of discharge quantity."
floors,
Floquet theorem,
Florida,
flotation,
~ flour,
flour (food),
~ flow,"A stream or movement of air or other fluid, or the rate of fluid movement, in the open or in a duct, pipe, or passage; specifically, an airflow."
flow chambers,
flow characteristics,
flow charts,Graphical representations of sequences of operations using symbols to represent the operations. Flow charts are more detailed representations than diagrams.
flow coefficients,
flow deflection,
flow direction indicators,
flow distortion,
flow distribution,
flow equations,
flow geometry,
~ flow graphs,
flow measurement,
flow nets,
flow noise,Noise produced by the flow of fluids around or through a body; the pressure variations associated with a turbulent flow field.
flow regulators,
flow resistance,
flow stability,
flow theory,
flow velocity,"The volume per time unit given to the flow of gasses or other fluid substances which emerge from an orifice, pump, turbine, or passes along a conduit or channel. Used for flow rate."
flow visualization,
flowmeters,
FLOX,
fluctuation theory,
flue gases,Gaseous combustion products from a furnace.
fluence,
fluerics,
flues,
fluid amplifiers,
fluid boundaries,
fluid dynamics,
fluid filled shells,Shells of revolution containing a gas or liquid.
fluid films,
fluid filters,
fluid flow,
fluid injection,
fluid jets,
fluid logic,
fluid management,The isolation and separation of liquids from gas in a storage vessel which operates in a reduced or zero gravity environment using liquid acquisition devices such as those used in the Space Shuttle RCS tankage.
fluid mechanics,The experimental and mathematical study of the mechanical properties of gases and liquids at rest and in motion.
fluid power,
fluid pressure,
fluid rotor gyroscopes,
fluid shifts (biology),"Translocation of body fluids from one compartment to another, such as from the vascular to the interstitial compartments. Fluid shifts are associated with profound changes in vascular permeability and water-electrolyte imbalance. The shift can also be from the lower body to the upper body as in conditions of weightlessness."
fluid-solid interactions,"The interactions of a rigid or elastic structure with an incompressible or compressible fluid. Airblast loading and response, acoustic interaction, aeroelasticity, and hydroelasticity comprise its major divisions."
fluid switching elements,
fluid transmission lines,
fluidic circuits,
fluidics,
fluidized bed processors,
~ fluids,
fluorescence,Emission of light or other radiant energy as a result of and only during absorption of radiation of a different wavelength from some other source. Used for fluorescent emission.
fluorides,
fluorination,
fluorine,
fluorine compounds,
fluorine isotopes,
fluorine organic compounds,
fluorite,
fluoro compounds,
fluoroamines,
fluorocarbons,All compounds containing fluorine and carbon (including other elements).
fluorohydrocarbons,
fluorophlogopite,
fluoropolymers,"A family of polymers based on fluorine replacement of hydrogen atoms in hydrocarbon molecules. Compounds are characterized by chemical inertness, thermal stability, and low coefficient of friction. Used for fluoroplastics."
fluoroscopy,
fluorosilicates,
fluorspar,
flushing,
flutter,"An aeroelastic self excited vibration in which the external source of energy is the airstream and which depends on the elastic, inertial and dissipative forces of the system in addition to the aerodynamic forces. Used for aerodynamic buzz and aeromagneto flutter."
flutter analysis,
~ flux,"The rate of flow of some quantity, often used in reference to the flow of some form of energy. In nuclear physics generally, the number of radioactive particles per unit volume times their mean velocity."
flux density,"The flux (rate of flow) of any quantity, usually a form of energy, through a unit area of specified surface. (Note that this is not a volumetric density like radiant density.) Used for density (rate/area), energy density, flux (rate per unit area), and flux mapping."
flux difference splitting,
flux pinning,"In superconductors, the interaction between the magnetic and the metallurgical microstructures. It controls the critical current density in a given superconducting material."
flux pumps,Cryogenic DC generators.
flux quantization,
flux (rate),"The total emanation of energy, material or particles from a single source per unit time. Used for electron flux, neutron flux, and particle flux."
flux transfer events,
flux vector splitting,The splitting of the nonlinear flux vectors of the conservation law form of the inviscid gasdynamic equations into subvectors by similarity transformations so that each subvector has associated with it a specified eigenvalue spectrum.
fluxes,
fly ash,"Fine particulate, essentially noncombustible refuse, carried in a gas stream from a furnace."
fly by light control,
fly by tube control,A fluidic flight control for aircraft in which a hydraulic control signal link connects the pilot's controls to the control surface actuators.
fly by wire control,
flyby missions,Interplanetary missions in which the vehicle passes close to the target planet but does not impact it or go into orbit around it.
flying ejection seats,
flying personnel,
flying platforms,
flying spot scanners,
flywheels,
FM/PM (modulation),Phase modulation of a carrier by subcarrier(s) which is (are) frequency modulated by information.
foaming,
foams,
focal plane devices,Radiation sensitive devices positioned at the focal area of electromagnetic detectors. Used for focal plane arrays.
foci,
focusing,
fog,"A loose term applied to visible aerosols in which the dispersed phase is liquid. Formation by condensation is usually implied. In meteorology, a dispersion of water or ice."
fog dispersal,
foil bearings,
~ foils,
foils (materials),
Fokker aircraft,
Fokker-Planck equation,
folding,
Folding Fin aircraft rocket vehicle,
folding structures,
folds (geology),"Curves or bends of a planar structure such as rock strata, bedding planes, foliation, or cleavage. Folds are usually a product of deformation, although their definition is descriptive and not genetic and may include primary structures. Used for nappes."
foliage,
folic acid,
~ food,
food chain,The scheme of feeding relationships by trophic levels which unites member species of a biological community.
food intake,
food processing,"The transformation of foodstuffs into forms for easy packaging, greater palatability, longer storage, etc."
food production (in space),
footprints,Ground patterns or contours of an acoustical or microwave nature that are predictable and measurable.
forbidden bands,
forbidden transitions,
Forbush decreases,The observed decreases in cosmic ray activity in the Earth's atmosphere about a day after a solar flare. Used for Forbush effect.
~ force,The cause of the acceleration of material bodies measured by the rate of change of momentum produced on a free body. Used for repulsion.
force distribution,
force-free magnetic fields,
force vector recorders,Instrumentation for recording force displacements in a variety of disciplines.
forced convection,
forced vibration,"An oscillation of a system in which the response is imposed by the excitation. If the excitation is periodic and continuing, the oscillation is steady state. Used for forced oscillation and forced vibratory motion equations."
forearm,
forebodies,
forecasting,
forehead,
foreign bodies,
foreign policy,
forest fire detection,
forest fires,
forest management,
forests,
forging,
forks,
form factors,
formaldehyde,
formalism,
format,
formates,
~ formation,
formation flying,Coordinated and closely synchronized flight of two or more aircraft or spacecraft in a relatively close spatial configuration.
formations,
formhydroxamic acid,
formic acid,
formica,
forming techniques,
forms (paper),
~ formulas,
formulas (mathematics),
formulations,
formyl ions,
forsterite,
Forth (programming language),
Fortisan (trademark),
FORTRAN,
forward facing steps,
forward scattering,The scattering of radiant energy into the hemisphere of space bounded by a plane normal to the direction of the incident radiation and lying on the side toward which the incident radiation was advancing; the opposite of backward scatter.
fossil fuels,"A general term for any hydrocarbons that may be used for fuel; chiefly petroleum, natural gas, and coal."
fossils,"Remains, traces, or imprints of an organism preserved in the Earth's crust sometime in the geologic past. Used for fossil meteorite craters."
Foster theory,
fouling,
foundations,
foundries,
four body problem,
four-wave mixing,
Fourier analysis,The representation of physical or mathematical data by the use of the Fourier series of Fourier integral.
Fourier-Bessel transformations,
Fourier law,
Fourier series,
Fourier transformation,
fovea,"The central part of the retina, which contains a high concentration of the color sensitive receptors known as cones."
FR-1 satellite,
fractals,"Highly irregular geometrical figures such as snowflakes or the boundary of a cloud whose capacity dimension is not an integer. The capacity dimension characterizes the measuring of the number of different size superimposed squares needed to cover the geometric shape. By the use of differing size boxes, one is able to determine the capacity dimension."
fractionation,
fractions,
fractography,
fracture mechanics,
fracture strength,The normal stress at the beginning of fracture. Fracture strength is calculated from the load at the beginning of fracture during a tension test and the original cross-sectional area of the specimen. Used for fracture resistance and fracture toughness.
fractures (materials),
fracturing,
fragmentation,
fragments,
frame photography,
frames,
frames (data processing),
framing cameras,
France,
francium,
Franck-Condon principle,
Fraunhofer line discriminators,
Fraunhofer lines,Dark lines in the absorption spectrum of solar radiation due to absorption by gases in the outer portions of the sun and in the Earth's atmosphere.
Fredholm equations,
free atmosphere,"That portion of the Earth's atmosphere, above the planetary boundary layer, in which the effect of the Earth's surface friction on the air is negligible, and in which the air is usually treated (dynamically) as an ideal fluid. The base of the free atmosphere is usually taken as the geostrophic wind level."
free boundaries,
free convection,
free electron lasers,"Multifrequency lasers utilizing optical radiation amplification by a beam of free electrons passing through a vacuum in a transverse periodic magnetic field, as opposed to conventional lasers in which the oscillating electrons are bound to atoms and molecules and have a specific wavelength."
free electrons,Electrons which are not bound to an atom.
free energy,
free fall,"The fall or drop of a body, such as a rocket, not guided, not under thrust, and not retarded by a parachute or a braking device. The free and unhampered motion of a body along a Keplerian trajectory, in the force of gravity is counterbalanced by the force of inertia."
free flight,"Unconstrained or unassisted flight, as in the flight of a rocket after consumption of its propellant or after motor shutoff, in the flight of an unguided projectile, and in the flight in certain kinds of wind tunnels of unmounted models."
free flight test apparatus,
free flow,
free jets,"Fluid jets without solid boundaries, such as a jet discharging into the open."
free molecular flow,
free-piston engines,Engines in which the pistons are not connected to the crank.
free radicals,"Atoms or groups of atoms broken away from stable compounds by application of external energy, and, although containing unpaired electrons, remaining free for transitory or longer periods."
free-space optical communication,
free-space optical interconnects,
free vibration,Oscillation of a system in the absence of external forces. Used for free oscillations.
free wing aircraft,
freeze drying,
freezing,
freight costs,
freighters,
French Guiana,
French satellites,
French space program,
Frenkel defects,
freon,
frequencies,"Of a function periodic in time, the reciprocals of primitive periods. The unit is the cycle per unit time and must be specified. Used for frequency bands."
frequency analyzers,
frequency assignment,"The specific frequency or frequencies authorized by competent authority; expressed for each channel by: (a) the authorized carrier frequency, the frequency tolerance, and the authorized emission bandwidth, (b) the authorized emission bandwidth in reference to a specific assigned frequency (when a carrier does exist), or (c) the authorized frequency band (when a carrier does not exist)."
frequency compression demodulators,
frequency control,
frequency converters,
frequency discriminators,Electronic circuits which deliver output voltages proportional to the deviations of signals from predetermined frequency values.
frequency distribution,
frequency dividers,
frequency division multiple access,"A method of providing multiple access to communication satellites in which the transmissions from a particular Earth station occupy a particular assigned frequency band. In the satellite, the signals are simultaneously amplified and transposed to a different frequency band and retransmitted. The Earth station identifies its receiving channel according to its assigned frequency band in the satellite signal. Used for FDMA."
frequency division multiplexing,The combining of a number of signals to share a medium by dividing it into different frequency bands for each signal.
frequency domain analysis,
frequency hopping,Random changing of frequencies in transmission to mislead or prevent interception by unauthorized equipment.
frequency measurement,
frequency modulation,Angle modulation of a sine wave carrier in which the instantaneous frequency of the modulated wave differs from the carrier frequency by an amount proportional to the instantaneous value of the modulating wave.
frequency modulation photomultipliers,
frequency multipliers,
frequency pulling,
frequency ranges,Specifically designated parts of the frequency spectrum.
frequency response,
frequency reuse,A digital satellite communication technique which features the reuse of frequency bands in a downlink transmission to provide high power utilization and flexible accommodation of dynamic source destination traffic patterns.
frequency scanning,
frequency shift,
frequency shift keying,"That form of frequency modulation in which the modulating wave shifts the output frequency between predetermined values, and the output wave is coherent with no phase discontinuity."
frequency stability,
frequency standards,
frequency synchronization,
frequency synthesizers,
fresh water,"Water in rivers, lakes, springs, etc. containing no significant amounts of dissolved salts."
Fresnel diffraction,
Fresnel integrals,
Fresnel lenses,Thin lenses constructed with stepped setbacks so as to have the optical properties of much thicker lenses.
Fresnel reflectors,"Devices characterized by a set of mirrors with varying orientation arranged so as to have the optical properties of a smooth reflector, e.g., parabolic reflector."
Fresnel region,The region between the antenna and the Fraunhofer region.
fretting,
fretting corrosion,
friction,"The resistance to the relative motion of one body sliding, rolling, or flowing over another body with which it is in contact."
friction drag,
friction factor,
friction measurement,
friction reduction,
friction stir welding,Solid state welding technique where a frictionally heated metal seam is stirred by a rotating pin tool to create a bond. The process involves no melting and the weld occurs via extreme plastic deformation associated with frictional straining.
friction welding,
frictionless environments,
Friedel-Craft reaction,
Friendship 7,
fringe multiplication,The duplicating effect of a family of curves superimposed on another family of curves so that the curves intersect at angles less than 45 degrees. A new family of curves appears which pass through intersections of the original curves.
frit,"A powdered ceramic prepared by fusing a physical mixture of oxides into a uniform melt, which is then quenched and milled into a fine, homogeneous powder."
frogs,
frontal waves,
~ fronts,
fronts (meteorology),"The contacts at the Earth's surface between two different air masses commonly cold and warm, that generally move in an easterly direction. Used for frontal areas (meteorology) and weather fronts."
frost,
frost damage,
frostbite,
Froude number,The nondimensional ratio of the inertial force to the force of gravity for a given fluid flow; the reciprocal of the Reech number.
frozen equilibrium flow,
frozen foods,
fruits,
frustration,
frustums,
fuel-air ratio,
fuel capsules,
fuel cell power plants,"Power generating devices that directly produce electrical energy from chemical energy and consist of fuel processors, stacked fuel cells, and dc to ac converters. The main types, distinguished by electrolytes which are heated to different temperatures, are base, phosphoric acid, molten carbonate, and solid oxide."
fuel cells,Devices which convert chemical energy directly into electrical energy but differing from a storage battery in that the reacting chemicals are supplied continuously as needed to meet output requirements.
fuel combustion,
fuel consumption,"The using of fuel by an engine or power plant; the rate of this consumption, measured, e.g., in gallons or pounds per minute."
fuel contamination,
fuel control,
fuel corrosion,
fuel flow,
fuel flow regulators,
fuel gages,
fuel injection,
fuel oils,
fuel production,Producing of conventional and/or alternative fuels by various technologies.
fuel pumps,
fuel sprays,
fuel systems,
fuel tank pressurization,
fuel tanks,
fuel tests,
fuel valves,
fuels,
Fujita method,
full scale tests,
fullerenes,"Molecules whose structure is similar to the shape of a soccer ball (polyhedron). The geodesic-dome-like molecular structure causes these molecules to be named after Buckminster Fuller, hence, 'fullerene.'"
fullerides,
fulminates,
fumes,
fumigation,
function generators,
function space,
functional analysis,
functional design specifications,Those levels of design in which all subtasks are specified and their relationships defined so that the total collection of subsystems will perform the intended task of the entire system.
functional integration,
functionally gradient materials,Composite materials that consist of a gradual compositional variation from ceramic to metal from one surface to the other. These continuous changes result in property gradients which can be adjusted by controlling the composition. Used for FGM (materials).
functionals,
~ functions,
functions (mathematics),
fungal diseases,
fungi,
fungicides,
funnels,
furan resins,
furans,Organic heterocyclic compounds containing diunsaturated rings of four carbon atoms and one oxygen atom; also known as furfuran or tetrol.
furfuryl alcohol,
furlable antennas,
furnaces,
fuselages,
~ fuses,
fuses (ordnance),
fusibility,
~ fusion,The combining of atoms and consequent release of energy.
fusion-fission hybrid reactors,
fusion (melting),
fusion propulsion,
fusion reactors,
fusion weapons,
fusion welding,
fuzzy sets,Mathematical models coupled with a provision for the effect of human factors and construction process and experience.
fuzzy systems,Systems that involve fuzzy sets.
FV-12A aircraft,
G-1 aircraft,
G-91 aircraft,
G-95/4 aircraft,
G-222 aircraft,
G stars,
GA-5 aircraft,
gabbro,
Gabon,
Gabor filters,
Gabor transformation,
gadolinium,
gadolinium alloys,"Mixtures of gadolinium, a rare earth metal, with other metals."
gadolinium-gallium garnet,A semiconducting crystalline compound used primarily as a solid-state laser material.
gadolinium isotopes,
Gaia hypothesis,"The hypothesis that the Earth's atmosphere, biosphere, and its living organisms behave as a single system striving to maintain a stability conducive to the existance of life."
gait,The pace or manner in which a legged animal or robot moves from one place to another.
galactic bulge,
galactic clusters,
Galactic cosmic rays,"Energetic particles that come from outside the solar system, but generally from within our galaxy-- the Milky Way."
galactic evolution,
galactic halos,"The tenuous, spherical cloud surrounding spiral galaxies. It is the locus of old stars and globular clusters. Halos appear to be required, at least to some extent, for the stability of disk galaxies."
galactic mass,The total amount of matter contained in a galaxy.
galactic nuclei,
galactic radiation,
galactic radio waves,Radio waves emanating from our galaxy.
galactic rotation,
galactic structure,
galactic winds,
galactose,
Galatea,"A natural satellite of Saturn, orbiting at a mean distance of 62,000 kilometers."
galaxies,"Vast assemblages of stars or nebulae, composing island universes separated from other such assemblages by great distances."
Galerkin method,
Galilean satellites,"The four largest and brightest satellites of Jupiter (Io, Europa, Ganymede, and Callisto)."
Galileo probe,The NASA Jupiter atmospheric entry probe to be deployed from the Galileo spacecraft. The probe will make in situ measurements while descending from a parachute.
Galileo project,"A NASA program to probe Jupiter, its environment and natural satellites. The spacecraft was placed in Earth orbit by the Space Transportation System (STS) on October 18, 1989. Used for Galileo mission."
Galileo spacecraft,"A NASA orbiter spacecraft which will carry the Galileo probe and, following deployment at Jupiter, will become an orbiting platform for remote sensing of Jupiter and its satellites."
gall,
gallamine triethiodide,
gallates,
gallium,
gallium alloys,
gallium antimonides,
gallium arsenide lasers,
gallium arsenides,
gallium compounds,
gallium isotopes,
gallium nitrides,
gallium oxides,
gallium phosphides,
gallium selenides,
galvanic skin response,
galvanomagnetic effects,
galvanometers,
Gambia,
game theory,"Application of mathematics to a game, business situation, or other problem to maximize gain or minimize loss."
games,
gametocytes,
gamma function,
gamma globulin,
gamma ray absorptiometry,
gamma ray absorption,
gamma ray astronomy,"Astronomy based on the detection of gamma ray emission and interactions from supernova remnants, neutron stars, flare stars, galactic core and disc, black holes, etc."
gamma ray beams,
gamma ray bursts,"Short (about 0.1 - 4 sec.) intense low-energy (about 0.1 - 1.2 MeV) bursts recorded by the Vela satellite system in 1967. Their isotropic distribution suggests an extragalactic origin, but a galactic disk origin cannot be ruled out. Used for cosmic gamma ray bursts."
gamma ray lasers,Stimulated emission devices producing coherent gamma radiation.
