,TermUpper,Term,Definitions,Acronym,Source
0,"ICE, CLOUD AND LAND ELEVATION SATELLITE","Ice, Cloud and Land Elevation Satellite","ICESat (Ice, Cloud, and land Elevation Satellite) is the benchmark
Earth Observing System (EOS) mission for measuring ice sheet mass
balance, cloud and aerosol heights, as well as land topography and
vegetation characteristics.

The ICESat mission will provide multi-year elevation data needed to
determine ice sheet mass balance as well as cloud property
information, especially for stratospheric clouds common over polar
areas. It will also provide topography and vegetation data around the
globe, in addition to the polar-specific coverage over the Greenland
and Antarctic ice sheets.

NASA selected Ball Aerospace to provide its Ball Commercial Platform
2000 (BCP 2000) spacecraft bus for the laser altimetry mission. In
cooperation with Colorado University/ Laboratory for Atmospheric and
Space Physics (LASP), Ball Aerospace will provide the mission
operations for ICESat. This includes a Mission Operations Center, a
Flight Operations Team, and a Flight Dynamics System, all based on
systems currently supporting other similar missions. ICESat data will
be archived and distributed by the National Snow and Ice Data Center
(NSIDC).

The Geoscience Laser Altimeter System (GLAS) is the sole instrument on
the ICESat flight.

ICESat was successfully launched on January 12, 2003.

For more information on ICESat, see:
http://icesat.gsfc.nasa.gov/

For more information on the Earth Observing System (EOS), see:
http://eospso.gsfc.nasa.gov/",ICESAT,GCMD projects
0,ORBITING CARBON OBSERVATORY,Orbiting Carbon Observatory,"NASA’s Orbiting Carbon Observatory satellite failed to reach orbit after its 4:55 a.m. EST liftoff Feb. 24 (2009) from California’s Vandenberg Air Force Base.

Preliminary indications are that the fairing on the Taurus XL launch vehicle failed to separate. The fairing is a clamshell structure that encapsulates the satellite as it travels through the atmosphere.

The spacecraft did not reach orbit and likely landed in the Pacific Ocean near Antarctica, said John Brunschwyler, the program manager for the Taurus XL.

A Mishap Investigation Board is to determine the cause of the launch failure. 

[Source: NASA OCO Project Home Page, https://www.nasa.gov/mission_pages/oco2/ ]

The Orbiting Carbon Observatory (OCO) is a new Earth orbiting mission sponsored by NASAs Earth System Science Pathfinder Project (ESSP) Program. The ESSP Program funds competitively selected, low to moderate cost Earth Science missions. These highly focused missions acquire exploratory measurements of the atmosphere, the oceans, the land surface and the solid Earth. These missions share a common goal of improving the capability of Earth scientists to predict changes in weather, climate and natural hazards.

After launch in 2009, the OCO mission will collect precise global measurements of carbon dioxide (CO2) in the Earths atmosphere. Scientists will analyze OCO data to improve our understanding of the natural processes and human activities that regulate the abundance and distribution of this important greenhouse gas. This improved understanding will enable more reliable forecasts of future changes in the abundance and distribution of CO2 in the atmosphere and the effect that these changes may have on the Earths climate.

The Jet Propulsion Laboratory will lead the OCO effort. Orbital Sciences Corporation and Hamilton Sundstrand Sensor Systems will partner with JPL to realize this vital mission.


Group: Platform_Details
   Entry_ID: OCO
   Group: Platform_Identification
      Platform_Category: Earth Observation Satellites
      Short_Name: OCO
      Long_Name: Orbiting Carbon Observatory
   End_Group
   Group: Platform_Associated_Instruments
      Short_Name: OCO SPECTROMETERS
      Short_Name: NEAR-INFRARED SPECTROMETER
   End_Group
   Group: Orbit
      Orbit_Altitude: 705 km
      Orbit_Inclination: 98.2 degrees
      Orbit_Type: LEO > Low Earth Orbit > Polar Sun-Synchronous
   End_Group
   Creation_Date: 2007-05-21
   Online_Resource: https://www.nasa.gov/mission_pages/oco2/
   Group: Platform_Logistics
      Design_Life: 2 years
      Primary_Sponsor: USA/NASA
   End_Group
End_Group",OCO,GCMD platforms
0,ORBITING CARBON OBSERVATORY,Orbiting Carbon Observatory,"The Orbiting Carbon Observatory-2 (OCO-2) is based on the original OCO mission that was developed under the 
NASA Earth System Science Pathfinder (ESSP) Program Office and launched from Vandenberg Air Force Base on 
February 24, 2009. Before spacecraft separation, a launch vehicle anomaly occurred that prevented the OCO 
spacecraft from reaching injection orbit. The spacecraft was destroyed during re-entry. The Orbiting Carbon 
Observatory-2 (OCO-2) mission was authorized to enter a tailored formulation phase on March 8, 2010. As 
outlined in the Formulation Authorization Document, the OCO-2 Project is directed to make every effort 
“to duplicate the original OCO design using identical hardware, drawings, documents, procedures, and software 
wherever possible and practical” to minimize cost risk, schedule risk, and performance risk.       
      
For more information: https://ocov2.jpl.nasa.gov/",OCO,GCMD projects
0,ATMOSPHERIC CHEMISTRY EXPERIMENT,Atmospheric Chemistry Experiment,"Launched on August 12, 2003, SCISAT helps a team of Canadian and international scientists improve their understanding of the depletion of the ozone layer, with a special emphasis on the changes occurring over Canada and in the Arctic.

SCISAT focuses its attention in the stratosphere, where the ozone layer is located. SCISAT is providing the most accurate measurements to date of chemicals that affect ozone, which blocks the suns biologically damaging ultraviolet radiation and prevents most of it from reaching the Earths surface.

http://www.nasa.gov/missions/earth/scisat.html


Group: Platform_Details
   Entry_ID: SCISAT-1/ACE
   Group: Platform_Identification
      Platform_Category: Earth Observation Satellites
      Short_Name: SCISAT-1/ACE
      Long_Name: Atmospheric Chemistry Experiment
   End_Group
   Group: Synonymous_Platform_Names
      Short_Name: SCISAT
   End_Group
   Group: Orbit
      Orbit_Type: HEO > Highly Elliptical Orbit
   End_Group
   Creation_Date: 2007-11-28
   Online_Resource: http://earth.esa.int/SCISAT-1ACE/
   Online_Resource: http://www.nasa.gov/missions/earth/scisat.html
   Sample_Image: http://www.space.gc.ca/asc/img/scisat_061213_thum.jpg
   Group: Platform_Logistics
      Launch_Date: 2003-08-12
      Primary_Sponsor: Canada/CSA
   End_Group
End_Group",SCISAT-1/ACE,GCMD platforms
0,ATMOSPHERIC CHEMISTRY EXPERIMENT,Atmospheric Chemistry Experiment,"The principal goal of the Atmospheric Chemistry Experiment (ACE)
      mission is to investigate the chemical processes that are
      involved in the distribution of ozone in the atmosphere. The ACE
      mission will work in conjunction with other instruments and
      missions planned by NASA, the European Space Agency, and other
      international partners over the next decade to gain a better
      understanding of the chemistry and dynamics of the atmosphere
      that affect the Earth?s protective ozone layer. The analysis of
      the large amount of data that will be collected will lead to a
      more informed assessment of international environmental policies
      such as the Montreal Protocol for the elimination of
      chlorofluorocarbons (CFCs).

      The overall objective of the ACE mission is to improve our
      understanding of the depletion of the ozone layer, focusing
      close attention to what is happening over Canada and the
      Arctic. The measurements obtained by the ACE-FTS and MAESTRO
      instruments will be combined with data gathered by ground-based,
      balloon-based and other space-based projects in order to obtain
      the best possible information to predict future trends relating
      to the ozone layer and its depletion.

      The Government of Canada is working with the international
      scientific community to determine the extent and causes of
      atmospheric changes that threaten human health and safety. Sound
      scientific data is essential to finding effective solutions to
      problems such as depletion of the ozone layer and climate
      change. Environment Canada?s studies of the ozone layer, which
      began over 50 years ago, support a worldwide research and
      atmospheric monitoring program. And, through the leadership of
      the Canadian Space Agency, Canada is also involved in research
      studying the ozone layer from space.

      View the SCISAT homepage at:
      http://www.space.gc.ca/asc/eng/csa_sectors/space_science/atmospheric/
scisat/scisat.asp

      [Summary provided the Canadian Space Agency]",SCISAT_ACE,GCMD projects
0,"THERMOSPHERE, IONOSPHERE, MESOSPHERE ENERGETICS AND DYNAMICS","Thermosphere, Ionosphere, Mesosphere Energetics and Dynamics","NASAs Thermosphere, Ionosphere, Mesosphere Energetics and Dynamics (TIMED)
spacecraft was launched on December 7, 2001 from Vandenberg AFB. The spacecraft
was built by The Johns Hopkins University Applied Physics Laboratory (APL) and
shares the same launch vehicle as NASAs Jason-1 spacecraft.

TIMED is the first mission in NASAs Solar Terrestrial Probes Program and will
study the influences of the sun and humans on the mesosphere and Lower
Thermosphere/Ionosphere (MLTI). TIMED will focus on a portion of the atmosphere
between 60-180 km above the surface.

TIMEDs payload consists of four instruments:

- Global Ultraviolet Imager (GUVI): a spatial scanning ultraviolet spectrograph
designed to measure the composition and temperature profiles of the MLTI
region, as well as its auroral energy inputs.

- Solar Extreme Ultraviolet Experiment (SEE): comprised of a spectrometer and a
suite of photometers designed to measure the solar soft X-ray, extreme
ultraviolet and far-ultraviolet radiation in the MLTI region.

- TIMED Doppler Interferometer (TIDI): designed to measure the wind and
temperature profiles of the MLTI region.

- Sounding of the Atmosphere using Broadband Emission Radiometry (SABER):
designed to measure the pressure, temperature, key gases in the oxygen and
hydrogen families, infrared cooling, and effects of solar and chemical heating
of the MLTI region.

TIMED is sponsored by NASAs Office of Space Science and is managed by NASAs
Goddard Space Flight Centers Solar Terrestrial Probes program Office. The
Johns Hopkins Applied Physics Laboratory operates the spacecraft and leads the
science effort.

For more information, see:
http://www.timed.jhuapl.edu


Group: Platform_Details
   Entry_ID: TIMED
   Group: Platform_Identification
      Platform_Category: Earth Observation Satellites
      Short_Name: TIMED
      Long_Name: Thermosphere, Ionosphere, Mesosphere Energetics and Dynamics
   End_Group
   Group: Synonymous_Platform_Names
      Short_Name: 26998
      Short_Name: 2001-055B
   End_Group
   Group: Platform_Associated_Instruments
      Short_Name: TIDI
      Short_Name: SEE
      Short_Name: SABER
      Short_Name: GUVI
   End_Group
   Group: Orbit
      Orbit_Altitude: 625 km
      Orbit_Inclination: 74.1 degrees
      Period: 97.3 m
      Perigee: 627 km
      Apogee: 628 km
      Orbit_Type: LEO > Low Earth Orbit > Inclined Non-Polar
   End_Group
   Online_Resource: http://www.timed.jhuapl.edu/WWW/index.php
   Sample_Image: http://nssdc.gsfc.nasa.gov/image/spacecraft/timed.jpg
   Group: Platform_Logistics
      Launch_Date: 2001-12-07
      Launch_Site: Vandenberg Air Force Base, USA
      Design_Life: 2 years
      Primary_Sponsor: NASA
      Primary_Sponsor: Johns Hopkins University/Applied Physics Lab
   End_Group
End_Group",TIMED,GCMD platforms
0,"THERMOSPHERE, IONOSPHERE, MESOSPHERE ENERGETICS AND DYNAMICS","Thermosphere, Ionosphere, Mesosphere Energetics and Dynamics","The TIMED (Thermosphere Ionosphere Mesosphere Energetics and Dynamics) mission is studying the influences of the Sun and humans on the least explored and understood region of Earth&#039;s atmosphere  the Mesophere and Lower Thermosphere/Ionosphere (MLTI). The MLTI region is a gateway between Earth&#039;s environment and space, where the Sun&#039;s energy is first deposited into Earth&#039;s environment. TIMED is focusing on a portion of this atmospheric region located approximately 40-110 miles (60-180 Kilometers) above the surface. The TIMED spacecraft was launched on December 7, 2001, from Vandenberg Air Force Base, California, aboard a Delta II launch vehicle.

Information provided by http://stp.gsfc.nasa.gov/missions/timed/timed.htm",TIMED,GCMD projects
0,OCEAN TOPOGRAPHY EXPERIMENT,Ocean Topography Experiment,"TOPEX/Poseidon was an oceanography mission to monitor global ocean circulation, improve global climate predictions, and monitor events such as El Niño and ocean eddies. These data have greatly enhanced our understanding of the role of the ocean in the formation of Earth?s weather and climate.

Key TOPEX/Poseidon Facts
Joint with France
Mass: 2388 kg
Power: 3,385 W
Operating Life: Over 13 years, until October 9, 2005


Group: Platform_Details
   Entry_ID: TOPEX/POSEIDON
   Group: Platform_Identification
      Platform_Category: Earth Observation Satellites
      Short_Name: TOPEX/POSEIDON
      Long_Name: Topography Experiment/Poseidon
   End_Group
   Group: Platform_Associated_Instruments
      Short_Name: SSALT
      Short_Name: TMR
      Short_Name: LRA
      Short_Name: DORIS
      Short_Name: NRA
      Short_Name: TRSR
   End_Group
   Group: Orbit
      Orbit_Altitude: 1336 km
      Orbit_Inclination: 66 degrees
      Period: 112.4 minutes
      Repeat_Cycle: 10 days
      Perigee: 1,331 km (827 mi)
      Apogee: 1,344 km (835 mi)
      Orbit_Type: LEO > Low Earth Orbit > Polar Non-Sun-Synchronous
   End_Group
   Creation_Date: 2007-04-16
   Online_Resource: http://sealevel.jpl.nasa.gov/mission/topex.html
   Online_Resource: http://science.hq.nasa.gov/missions/satellite_14.htm
   Online_Resource: http://topex-www.jpl.nasa.gov/
   Sample_Image: http://sealevel.jpl.nasa.gov/gallery/spacecraft/gifs/BHT.jpg
   Group: Platform_Logistics
      Launch_Date: 1992-08-10
      Launch_Site: KOUROU, FRENCH GUIANA
      Design_Life: 5 years
      Primary_Sponsor: NASA
      Primary_Sponsor: CNES
   End_Group
End_Group",TOPEX/POSEIDON,GCMD platforms
0,OCEAN TOPOGRAPHY EXPERIMENT,Ocean Topography Experiment,"TOPEX/Poseidon is an oceanography mission to monitor global ocean
circulation, improve global climate predictions, and monitor events
such as El Nino conditions and ocean eddies. These data have
revolutionized our understanding of the role of ocean in formation of
the Earths weather and climate. The TOPEX/Poseidon satellite carried
a radar altimeter. It was a joint mission between France and the USA.
Weather and climate change. Disaster management, early warning for
homeland security, carbon management, coastal zone management.

      LAUNCH:

      Launched: August 10, 1992
      Launch Site: Kourou, French Guiana

      ORBIT:

      Altitude: 1,336 km
      Inclination: 66 degree

      VITAL STATISTICS:

      Weight: 2388 kg
      Power: 3,385 watts
      Design Life: 5 years

      INSTRUMENTS:

      Microwave radiometer
      GPS receiver
      Laser retroreflector array
      Dual frequency NASA radar altimeter
      Single frequency CNES radar altimeter
      DORIS: Doppler tracking system receiver

      For more informaion on TOPEX/Poseidon, see
      http://podaac.jpl.nasa.gov/toppos/index_old.html

      For more information on the Earth Science Enterprise, see
      http://earth.nasa.gov/",TOPEX/POSEIDON,GCMD projects
0,UPPER ATMOSPHERE RESEARCH SATELLITE,Upper Atmosphere Research Satellite,"Following the deployment of the Goddard Space Flight Centers (GSFC) Upper Atmosphere Research Satellite (UARS) on Sept. 15, 1991, from the Space Shuttle Discovery, scientists have gained a better understanding of the energy input, chemistry and dynamics of the upper atmosphere and the coupling between the upper and lower atmosphere. UARS, the first satellite dedicated to studying stratospheric science, focuses on the processes that lead to ozone depletion, complementing and amplifying the measurements of total ozone made by the Total Ozone Mapping Spectrometer (TOMS) onboard NASAs Nimbus-7 and the Russian Meteor-3 satellites. UARS also measures winds and temperatures in the stratosphere as well as the energy input from the Sun.  

Ten UARS instruments have provided the most complete data on upper atmospheric energy inputs, winds, and chemical composition ever gathered. Together, these observations constitute a highly integrated investigation of the nature of the upper atmosphere, and help define the role of the upper atmosphere in climate and climate variability. In its first two weeks of operation, UARS data confirmed the polar ozone-depletion theories by providing three-dimensional maps of ozone and chlorine monoxide near the South Pole during development of the 1991 ozone hole. UARS, developed and managed by GSFC, in Greenbelt, Md., provides information that nations around the world can use to guide decisions on environmental policies, according to scientists.  

Moreover, UARS collected data on the chemistry, dynamics, and radiative inputs to the upper atmosphere far beyond its designed lifetime, obtaining over 13 years of observations for many atmospheric constituents, temperature, winds, and external forcings.  UARS was decommissioned in 2005. The United Kingdom and Canada both provided instruments for this mission. UARS is the first spacecraft launched as part of NASAs systematic, comprehensive study of the Earth system.

Instruments: 

ISAMS (Improved Stratospheric and Mesospheric Sounder)
MLS (Microwave Limb Sounder)
HALOE (Halogen Occultation Experiment)
HRDI (High Resolution Doppler Imager)
WIND II (Wind Imaging Interferometer)
SOLSTICE (Solar-stellar Irradiance Comparison Experiment)
SUSIM (Solar Ultraviolet Spectral Irradiance Monitor)
PEM (Particle Environment Monitor)
ACRIM II (Active Cavity Radiometer Irradiance Monitor)
CLAES (Cryogenic Limb Array Etalon Spectrometer)


[Summary provided by NASA]


Group: Platform_Details
   Entry_ID: UARS
   Group: Platform_Identification
      Platform_Category: Earth Observation Satellites
      Short_Name: UARS
      Long_Name: Upper Atmosphere Research Satellite
   End_Group
   Group: Platform_Associated_Instruments
      Short_Name: CLAES
      Short_Name: ISAMS
      Short_Name: MLS
      Short_Name: HALOE
      Short_Name: HRDI
      Short_Name: WINDII
      Short_Name: SOLSTICE
      Short_Name: SUSIM
      Short_Name: PEM
      Short_Name: ACRIM II
   End_Group
   Group: Orbit
      Orbit_Altitude: 585 km circular
      Orbit_Inclination: 57 deg
      Period: 96.7 min
      Perigee: 574 km (356 mi)
      Apogee: 582 km (361 mi)
      Orbit_Type: LEO > Low Earth Orbit > Polar Non-Sun-Synchronous
   End_Group
   Creation_Date: 2007-05-09
   Online_Resource: http://umpgal.gsfc.nasa.gov/
   Online_Resource: http://www.nasa.gov/mission_pages/uars/index.html
   Sample_Image: http://umpgal.gsfc.nasa.gov/uars-science/images/uars.jpg
   Group: Platform_Logistics
      Launch_Date: 1991-09-12
      Launch_Site: Cape Canaveral/Kennedy Space Center, USA
      Design_Life: 3 years
      Primary_Sponsor: NASA - Goddard Space Flight Center
   End_Group
End_Group",UARS,GCMD platforms
0,UPPER ATMOSPHERE RESEARCH SATELLITE,Upper Atmosphere Research Satellite,"NASA officially announced its intent to develop the Upper Atmosphere
Research Satellite (UARS) in 1979. Nine instruments and a group of
theoretical investigators were chosen by an open proposal selection
process. An additional instrument, ACRIM, was given a flight of
opportunity on the UARS spacecraft. Due to funding delays and the
Challenger accident, UARS was not launched until 1991. UARS is
considered the first of the Mission to Planet Earth (now Earth Science
Enterprise) series of NASA spacecraft.

UARS was launched on September 15, 1991 by the Space Shuttle
Discovery. It is 35 feet long, 15 feet in diameter, weighs 13,000
pounds, and carries 10 instruments. UARS orbits at an altitude of 375
miles with an orbital inclination of 57 degrees. Designed to operate
for three years, eight of its ten instruments are still
functioning. UARS measures ozone and chemical compounds found in the
ozone layer which affect ozone chemistry and processes. UARS also
measures winds and temperatures in the stratosphere as well as the
energy input from the Sun. Together, these help define the role of the
upper atmosphere in climate and climate variability.

The UARS Project Mission Objectives are to study the
a) energy input and loss in the upper atmosphere
b) global photochemistry of the upper atmosphere
c) dynamics of the upper atmosphere
d) coupling among these processes
e) coupling between the upper and lower atmosphere

Four UARS instruments were devoted to measurements of constituents
that spectroscopically determine the concentrations of many different
chemical species and derived the variation of atmospheric temperature
with altitude by observing infrared emissions from carbon dioxide
(CO2). The instruments are:
1) Cryogenic Limb Array Etalon Spectrometer (CLAES)
2) Improved Stratospheric and Mesospheric Sounder (ISAMS)
3) Microwave Limb Sounder (MLS)
4) Halogen Occultation Experiment (HALOE)

Two instruments, utilizing high-resolution interferometry, will studied
upper-atmosphere winds by sensing the Doppler shift in light absorbed
by or emitted from atmospheric molecules. The wind instruments are:
1) High Resolution Doppler Imager (HRDI)
2) Wind Imaging Interferometer (WINDII)

An additional four investigations obtained estimates of the energy
incident on the atmosphere by measuring solar ultraviolet radiation
and the flux of charged particles from the Earths magnetosphere.
These are:
1) Solar-Stellar Irradiance Comparison Experiment (SOLSTICE)
2) Solar Ultraviolet Spectral Irradiance Monitor (SUSIM)
3) Particle Environment Monitor (PEM)
4) Active Cavity Radiometer Irradiance Monitor (ACRIM II)


References:
1. Reber, Carl A., The Upper Atmosphere Research Satellite, EOS Trans.
AGU, 71, 1867, 1990.
2. Reber, C. A., C. E. Trevathan, R. J. McNeal, and M. R.  Luther, The
Upper Atmosphere Research Satellite (UARS) Mission, J. Geophys. Res.
98, D6, 10643-10647, 1993.
3. Geophysical Research Letters, Vol. 20, 1993.
4. Upper Atmosphere Research Satellite, A Program to Study Global Ozone
Change, NASA publication, 1989.
5. Mission Operations Report, Upper Atmosphere Research Satellite
(UARS), NASA Report S-678-48-91-01.

For more information, see the UARS Home Page:
http://umpgal.gsfc.nasa.gov/

For more information on the Earth Science Enterprise (ESE), see:
http://www.earth.nasa.gov/

For more information on the Earth Observing System (EOS), see:
http://eospso.gsfc.nasa.gov/",UARS,GCMD projects
0,IN SITU LAND-BASED PLATFORMS,In Situ Land-based Platforms,"Fixed and mobile land-based platforms.


Group: Platform_Details
   Entry_ID: In Situ Land-based Platforms
   Group: Platform_Identification
      Platform_Category: In Situ Land-based Platforms
      Short_Name: In Situ Land-based Platforms
   End_Group
End_Group",,GCMD platforms
0,IN SITU LAND-BASED PLATFORMS,In Situ Land-based Platforms,,,GCMD PlatformType
0,GLOBAL OSCILLATION NETWORK GROUP,Global Oscillation Network Group,"The Global Oscillation Network Group (GONG) is a community-based project to conduct a detailed study of solar internal structure and dynamics using helioseismology. In order to exploit this new technique, GONG has developed a six-station network of extremely sensitive, and stable velocity imagers located around the Earth to obtain nearly continuous observations of the SUNs five-minute oscillations, or pulsations.

The site comprising the GONG Network are:
Big Bear, California
Cerro Tololo, Chile
Learmonth, Australia
Mauna Loa, Hawaii
Udaipur, India
Observatorio del Teide, Canary Islands

The five-minute oscillation is a subtle effect. Individual modes may exhibit velocities of less than 0.2 meters/second, while the sum of all of the modes is only a few hundred meters/second. The ultimate intention is to have the measurements be limited by the Suns ``random surface motions. This means developing six stable instruments capable of making imaged velocity measurements with a precision of significantly less than one meter/second - one part in ten million! A low technological risk instrument based on a Michelson interferometer was selected, and it will be supported by a highly automated, portable installation, somewhat reminiscent of a spacecraft experiment.

Each station in the network will produce more than 200 megabytes of data every day. Over the three year observing run, the raw data will exceed one terabyte, and the various processed data sets will exceed this several-fold. To keep up with the data flow, a pipe-line capable of roughly 6 Megaflops has be established to do the bulk processing and provide subsets of the data for the scientific community. Because of the widespread scientific participation, distributed data, software and analysis tools will be provided. Thus, in addition to a central facility, participating scientists will have access to readily transportable data archives and software, as well as shared analysis programs at their home institutions.


Group: Platform_Details
   Entry_ID: GONG NETWORK
   Group: Platform_Identification
      Platform_Category: In Situ Land-based Platforms
      Platform_Series_or_Entity: SOLAR/SPACE MONITORING STATIONS
      Short_Name: GONG NETWORK
      Long_Name: Global Oscillation Network Group
   End_Group
   Group: Synonymous_Platform_Names
      Short_Name: GONG
   End_Group
   Group: Platform_Associated_Instruments
      Short_Name: INTERFEROMETERS
   End_Group
   Creation_Date: 2007-12-10
   Online_Resource: http://gong.nso.edu/info/
   Sample_Image: http://gong.nso.edu/instrument/outside_shelter.jpg
End_Group",GONG NETWORK,GCMD platforms
0,GLOBAL OSCILLATION NETWORK GROUP,Global Oscillation Network Group,"The Global Oscillation Network Group
The Global Oscillation Network Group (GONG) project was proposed in 1984 by
the National Solar Observatory as a community activity.  Funding for the
project from the National Science Foundation started in 1986.  The project is
intended to provide 3 years of nearly uninterrupted helioseismograms to allow
detailed study of the stratification and dynamics of the solar interior.
The project is in the process of developing a network of observational sites
and an instrument based on the principle of Fourier tachometry to do the
observing.  In addition the GONG datacenter will store the network data and
do the standard data reduction.  Science teams have been organized and are
actively engaged in providing technical support for various aspects of the
project and are preparing for the analysis and interpretation of the data
products.
Scientific contacts
   John W. Leibacher           Email: INTERNET>  leib@noao.edu
   National Solar Observatory         SPAN>      noao::leib
   P.O. Box 26732           SOLAR>     JLeibacher@solar.stanford.edu
   Tucson, AZ  85726-6732      Phone:  602-325-9305
   John W. Harvey              Email: INTERNET>  jharvey@noao.edu
   National Solar Observatory         SPAN>      noao::jharvey
   P.O. Box 26732                     SOLAR>     JHarvey@solar.stanford.edu
   Tucson, AZ  85726-6732      Phone:  602-325-9337
   James R. Kennedy            Email: INTERNET>  kennedy@noao.edu
   National Solar Observatory         SPAN>      noao::kennedy
   P.O. Box 26732                     SOLAR>     JKennedy@solar.stanford.edu
   Tucson, AZ  85726-6732      Phone:  602-325-9373
Data and Computer Access Contact
    James A. Pintar               Email: INTERNET>  pintar@noao.edu
    National Solar Observatory           SPAN>      noao::pintar
    P.O. Box 26732                 SOLAR>     JPintar@solar.stanford.edu
    Tucson, AZ  85726-6732        Phone: 602-325-9272
References
J.W. Harvey, F.Hill, J.R.Kennedy, J.W.Leibacher, and W.C.Livingston,
    The Global Oscillation Network Group (GONG), 1988, Adv. Space
    Res. 8, No. 11, P. 117-120
Quarterly Newsletter:
GONG Newsletter, Ron Hubbard, Editor.
    Internet> rhubbard@noao.edu
    SPAN> noao::rhubbard",GONG,GCMD projects
0,SHARED MOBILE ATMOSPHERIC RESEARCH AND TEACHING RADAR,Shared Mobile Atmospheric Research and Teaching Radar,"The Shared Mobile Atmospheric Research and Teaching Radar (SMART-R) is a new mobile radar built with partners Texas A&M University, Texas Tech University and the University of Oklahoma. SMART-R is the first mobile 5 cm radar in the United States. It was designed using the latest computer and radar signal processing hardware and software. With the capability to see through an entire thunderstorm or hurricane, it can observe precipitation over a larger area than other mobile radars.

[Source: NOAA]


Group: Platform_Details
   Entry_ID: SMART-R
   Group: Platform_Identification
      Platform_Category: In Situ Land-based Platforms
      Platform_Series_or_Entity: WEATHER STATIONS/NETWORKS
      Short_Name: SMART-R
      Long_Name: Shared Mobile Atmospheric Research and Teaching  Radar
   End_Group
   Group: Synonymous_Platform_Names
      Short_Name: SMARTR
   End_Group
   Creation_Date: 2007-12-12
   Online_Resource: http://www.nssl.noaa.gov/smartradars/
   Sample_Image: http://www.nssl.noaa.gov/stories/images/SMARTR_832.jpg
End_Group",SMART-R,GCMD platforms
0,SHARED MOBILE ATMOSPHERIC RESEARCH AND TEACHING RADAR,Shared Mobile Atmospheric Research and Teaching Radar,SMART-R is a mobile Doppler weather radar platform operated and created by the University of Oklahoma with aide from Texas A&M and Texas Tech University in 2001.,SMART-R,GCMD instruments
0,TOWER MOUNTED RADIOMETER SYSTEM 2,Tower Mounted Radiometer System 2,"The Tower Mounted Radiometer System (TMRS2) was a ground-based SSM/I simulator and surface energy balance monitoring system. The primary application of TMRS2 were to collect long-term (months) time-series data sets at sites representative of various biomes in support of land surface process modeling and remote sensing research. The system was also used in support of studies in the passive remote sensing of soil moisture, frozen/thawed soil state determination, permafrost, and snow.

List of TMRS2 Instruments:

TMRS2 was composed of a Radiometer Subsystem, a
Micro-Meteorological Subsystem (MMS), and a Control and Data
Management Subsystem (CDMS).

Micro-Meteorological Instruments:

10 meter anemometer
2 meter anemometer and wind vane
2 m Air temperature and relative humidity
Bowen Ratio
Downwelling shortwave hemispherical flux
Upwelling shortwave hemispherical flux
Net radiometer w/aspirator
Rain gage
Rain gage wind screen
TDR Soil moisture (10 probes
Subsurface temperature (12 probes)
Snowpack temperature (12 probes)
Snowpack depth
Subsurface heat flux (3 disks)

CDMS Componets:

Data logger and controller (hardware)
Data logger and controller (hardware)

Microwave/IR Radiometers:

19.35 GHz V & H polarizations
37.0 GHz V & H polarizations
85.5 GHz V or H polarization
thermal IR radiometer

Other Instruments:

Video camera

More information available at
http://www.eecs.umich.edu/grs/projects/tmrs2/

[Source: University of Michigan, College of Engineering]


Group: Platform_Details
   Entry_ID: TMRS2
   Group: Platform_Identification
      Platform_Category: In Situ Land-based Platforms
      Platform_Series_or_Entity: WEATHER STATIONS/NETWORKS
      Short_Name: TMRS2
      Long_Name: Tower Mounted Radiometer System 2
   End_Group
   Group: Synonymous_Platform_Names
      Short_Name: TMRS2
   End_Group
   Group: Platform_Associated_Instruments
      Short_Name: RAIN GAUGES
      Short_Name: SNOWPACK TEMPERATURE PROBE
      Short_Name: ANEMOMETERS
   End_Group
   Creation_Date: 2007-12-12
   Online_Resource: http://www.eecs.umich.edu/grs/tmrs.htm
   Sample_Image: http://www.eecs.umich.edu/grs/images/tmrs_one.jpg
End_Group",TMRS2,GCMD platforms
0,TOWER MOUNTED RADIOMETER SYSTEM 2,Tower Mounted Radiometer System 2,,TMRS2,GCMD instruments
0,WORLD WIDE LIGHTNING LOCATION NETWORK,World Wide Lightning Location Network,"The World Wide Lightning Location Network (WWLLN) is a global, ground-based lightning sensor network operated by the University of Washington in Seattle. This network monitors and maps global lightning
activity.",WWLLN,GCMD platforms
0,WORLD WIDE LIGHTNING LOCATION NETWORK,World Wide Lightning Location Network,"The World Wide Lightning Location Network is a global lightning network that detects the very low frequency (VLF; 3-30 kHz) emissions from lightning, known as sferics, that propagate long distances through the Earth-ionosphere waveguide. 

http://www.wwlln.net/",WWLLN,GCMD projects
